Start Time:  21-05-2024 13:30:53          Time Completed:  21-05-2024 13:49:08      Elapsed Time:  00:18:14
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_230.txt
Plot File:     C:\IDEASVSM\LS_QC\A_230.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_230.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.555774 	
 18000 	 0.5556 	
 17000 	 0.555153 	
 16000 	 0.5544 	
 15000 	 0.553344 	
 14000 	 0.552111 	
 13000 	 0.550677 	
 12000 	 0.549042 	
 11000 	 0.547132 	
 9999.98 	 0.54493 	
 9000 	 0.542338 	
 7999.98 	 0.539174 	
 6999.99 	 0.535357 	
 5999.99 	 0.530614 	
 4999.98 	 0.524584 	
 4000 	 0.514666 	
 3000.02 	 0.499235 	
 2000 	 0.470801 	
 1000.01 	 0.399249 	
 950.001 	 0.392941 	
 899.998 	 0.386185 	
 850.002 	 0.378923 	
 800.006 	 0.371108 	
 750.003 	 0.362664 	
 699.994 	 0.353438 	
 649.998 	 0.34341 	
 599.993 	 0.332479 	
 549.994 	 0.320524 	
 499.998 	 0.307453 	
 449.995 	 0.293005 	
 399.988 	 0.27687 	
 349.997 	 0.258576 	
 299.987 	 0.238161 	
 249.998 	 0.214897 	
 199.999 	 0.187954 	
 179.995 	 0.175899 	
 159.992 	 0.162978 	
 139.998 	 0.149061 	
 120.66 	 0.134507 	
 99.9961 	 0.1176 	
 80.002 	 0.09963 	
 60.0018 	 0.0796606 	
 40.0004 	 0.0571736 	
 20.0044 	 0.0313664 	
 18.9894 	 0.0299573 	
 17.9974 	 0.0285381 	
 16.9959 	 0.027107 	
 15.9979 	 0.0256593 	
 15.0004 	 0.0242303 	
 13.9947 	 0.0227575 	
 12.9904 	 0.0212743 	
 11.998 	 0.0197799 	
 10.9982 	 0.0182738 	
 9.98859 	 0.0167303 	
 9.00193 	 0.0151917 	
 8.00406 	 0.013614 	
 7.00554 	 0.0120379 	
 5.99522 	 0.0104479 	
 4.99765 	 0.00884211 	
 3.99972 	 0.00719451 	
 3.00377 	 0.00555988 	
 2.00092 	 0.00388514 	
 0.994431 	 0.00216876 	
 0.000404291 	 0.000461252 	
-0.994124 	-0.00131207 	
-1.99612 	-0.00299329 	
-3.00289 	-0.00467996 	
-3.99601 	-0.00633192 	
-4.99879 	-0.00794039 	
-6.00314 	-0.00955695 	
-6.99728 	-0.011148 	
-8.00917 	-0.0127287 	
-8.99987 	-0.0142657 	
-10.0044 	-0.0158087 	
-10.9981 	-0.0173481 	
-12.0091 	-0.0188361 	
-12.9997 	-0.0203032 	
-14.0036 	-0.0217911 	
-15.0006 	-0.0232609 	
-15.9972 	-0.0246991 	
-17.0022 	-0.0261437 	
-17.9993 	-0.0275687 	
-19.2774 	-0.0291578 	
-19.997 	-0.0303776 	

	
	
